crop_code,crop_name,crop_cat1,bln_country,B_LU,B_LU_EOM,B_LU_EOM_RESIDUE,B_LU_HC,B_LU_WATERSTRESS_OBIC,B_LU_MAKKINK
172,tuinbouwzaden,arable,NL,nl_172,0,0,0.32,overig,overig
174,bloemzaden open grond,arable,NL,nl_174,0,0,0.81,overig boomteelt,overig
175,bloemkwekerijgewassen (inclusief bloemzaden),arable,NL,nl_175,0,0,0.81,overig boomteelt,overig
176,bloembollen en - knollen,arable,NL,nl_176,0,0,0.24,bloembollen,bloembollen
212,fruit,arable,NL,nl_212,0,0,0.81,groot fruit,fruit
229,boomkwekerij en vaste planten,arable,NL,nl_229,1175,0,0.81,overig boomteelt,jong bos
233,"tarwe, winter-",arable,NL,nl_233,1640,990,0.31,granen,wintertarwe
234,"tarwe, zomer-",arable,NL,nl_234,1630,960,0.31,granen,graan
235,"gerst, winter-",arable,NL,nl_235,1570,780,0.31,granen,wintertarwe
236,"gerst, zomer-",arable,NL,nl_236,1310,0,0.31,granen,graan
237,rogge (geen snijrogge),arable,NL,nl_237,1500,1020,0.31,granen,wintertarwe
238,haver,arable,NL,nl_238,1570,900,0.31,granen,graan
239,"erwten, groene, droog te oogsten (geen conserven)",arable,NL,nl_239,170,830,0.32,zomergroenten,tuinbonen
240,schokkers,arable,NL,nl_240,0,0,0.24,overig,tuinbonen
241,kapucijners (en grauwe erwten),arable,NL,nl_241,0,0,0.32,zomergroenten,tuinbonen
242,"bonen, bruine-",arable,NL,nl_242,650,0,0.24,zomergroenten,tuinbonen
243,"bonen, veld-(oa duive-, paarde-, wierbonen)(droog te oogsten",arable,NL,nl_243,650,0,0.24,zomergroenten,tuinbonen
244,"erwten, groene/gele (groen te oogsten)",arable,NL,nl_244,170,830,0.32,zomergroenten,tuinbonen
246,karwijzaad,arable,NL,nl_246,0,0,0.35,overig,overig
247,blauwmaanzaad,arable,NL,nl_247,750,0,0.32,overig,overig
249,"vlas, vezel- (niet voor zaaizaad)",arable,NL,nl_249,100,0,0.33,overig,graan
256,"bieten, suiker-",arable,NL,nl_256,375,900,0.24,suikerbiet,bol en knolgewassen
257,"bieten, voeder-",arable,NL,nl_257,375,900,0.24,suikerbiet,bol en knolgewassen
258,luzerne,arable,NL,nl_258,1350,0,0.33,overig,overig
259,"mais, snij-",maize,NL,nl_259,660,0,0.33,snijmais,snijmais
262,"uien, zaai-",arable,NL,nl_262,300,0,0.24,zomergroenten,zaaiuien
263,"uien, zilver-",arable,NL,nl_263,300,0,0.24,zomergroenten,zaaiuien
265,"grasland, blijvend",grassland,NL,nl_265,3975,0,0.35,grasland zonder herinzaai,grasland
266,"grasland, tijdelijk",grassland,NL,nl_266,1875,0,0.35,grasland met herinzaai,grasland
294,"boomkwekerijgewassen en vaste planten, pot- en containerveld",arable,NL,nl_294,0,0,0.81,overig boomteelt,jong bos
308,erwten (droog te oogsten),arable,NL,nl_308,170,830,0.32,zomergroenten,tuinbonen
311,"bonen, veld- (onder andere duiven-, paarden-, wierbonen)",arable,NL,nl_311,650,0,0.24,zomergroenten,tuinbonen
314,triticale,arable,NL,nl_314,1600,930,0.31,granen,graan
316,"mais, korrel-",maize,NL,nl_316,1900,0,0.32,snijmais,snijmais
317,"mais, corncob mix",maize,NL,nl_317,1900,0,0.32,snijmais,snijmais
331,"grasland, natuurlijk. met landbouwactiviteiten.",grassland,NL,nl_331,1400,0,0.35,grasland zonder herinzaai,grasland
332,"grasland, natuurlijk. hoofdfunctie natuur.",grassland,NL,nl_332,1400,0,0.35,grasland zonder herinzaai,grasland
333,"rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit blijvend gras",nature,NL,nl_333,500,0,0.35,grasland met herinzaai,grasland
