id,code,type,description,unit,value_min,value_max,data_type,enum,options
1,A_AL_CO,measurement,"Aluminium exchangeable, extracted with cohex",mmol+/kg,0,100,num,FALSE,""
2,A_AL_CO_PO,measurement,Aluminium occupation,%,0.1,25,num,FALSE,""
3,A_AL_OX,measurement,Aluminium extractable with oxalate,mmol Al/kg,0.1,1000,num,FALSE,""
4,A_AL_RT,measurement,Total Aluminium content,g Al / kg,0.001,210,num,FALSE,""
5,A_B_CC,measurement,Boron plant available,µg B/ kg,0.001,1000,num,FALSE,""
6,A_B_HW,measurement,Hot water extractable Boron,mg B/kg,0.1,2,num,FALSE,""
7,A_CACO3_IF,measurement,Carbonated Lime,%,0.1,50,num,FALSE,""
8,A_CA_CO,measurement,"Calcium exchangeable, extracted with cohex",mmol+/kg,0.1,500,num,FALSE,""
9,A_CA_CO_PO,measurement,Calcium occupation,%,1,100,num,FALSE,""
10,A_CA_RT,measurement,Total Calcium content,g Ca / kg,0.001,350,num,FALSE,""
11,A_CC_BCS,visual soil assessment,Crop cover on the surface,unitless,0,2,int,FALSE,""
12,A_CEC_CO,measurement,Cation Exchange Capacity,mmol+/kg,1,1000,num,FALSE,""
13,A_CEC_CO_PO,measurement,Cation Exchange Capacity occupation,%,1,100,num,FALSE,""
14,A_CLAY_MI,measurement,Clay content,%,0.1,75,num,FALSE,""
15,A_CL_WA,measurement,Chlorine,mg Cl/kg,0.01,100,num,FALSE,""
16,A_CN_FR,measurement,Carbon / Nitrogen ratio,ratio,5,40,num,FALSE,""
17,A_COM_FR,measurement,Carbon fraction Organic Matter,fraction,0.3,0.8,num,FALSE,""
18,A_CO_AA,measurement,Cobalt,µg Co/ kg,0.01,1000,num,FALSE,""
19,A_CO_CC,measurement,Cobalt plant available,µg Co/ kg,0.01,1000,num,FALSE,""
20,A_CS_FR,measurement,Carbon / Sulfur ratio,ratio,,,num,FALSE,""
21,A_CU_CC,measurement,Copper plant available,µg Cu/ kg,0.1,1000,num,FALSE,""
22,A_CU_HNO3,measurement,Copper with HNO3 extraction,mg Cu/kg,,,num,FALSE,""
23,A_CU_RT,measurement,Total Copper content,mg Cu / kg,0.001,450,num,FALSE,""
24,A_C_BCS,visual soil assessment,Presence of visible cracks in the top layer,unitless,0,2,int,FALSE,""
25,A_C_FB,measurement,Funghal Biomass,mg C/kg,10,1000,num,FALSE,""
26,A_C_IF,measurement,Inorganic Carbon percentage,%,0.1,50,num,FALSE,""
27,A_C_MB,measurement,Microbial Biomass,mg C/kg,10,1000,num,FALSE,""
28,A_C_OF,measurement,Organic Carbon Content,g / kg,0.1,600,num,FALSE,""
29,A_C_RT,measurement,Total C content,g/kg,0,500,num,FALSE,""
30,A_DENSITY_SA,measurement,Dry bulk density,g/cm3,0.5,3,num,FALSE,""
31,A_DEPTH,measurement,Depth to which soil sample was taken,m,0.01,2,num,FALSE,""
32,A_EC_WA,measurement,Electroconductivity,mS / cm,0.01,10,num,FALSE,""
33,A_EW_BCS,visual soil assessment,Presence of earth worms,unitless,0,2,int,FALSE,""
34,A_FB_FR,measurement,Funghal / Bacterial ratio,ratio,0.01,10,num,FALSE,""
35,A_FE_CC,measurement,Iron plant available,µg Fe/ kg,1000,50000,num,FALSE,""
36,A_FE_OX,measurement,Iron extractable with oxalate,mmol Fe/kg,0.1,1000,num,FALSE,""
37,A_FE_RT,measurement,Total Iron content,g Fe / kg,0.001,150,num,FALSE,""
38,A_GS_BCS,visual soil assessment,Presence of watterlogged conditions and gley spots,unitless,0,2,int,FALSE,""
39,A_H_CO_PO,measurement,Hydrogen occupation,%,0.1,25,num,FALSE,""
